[INFO] [1788764767.394082724] [cpp_distance_subscriber]: C++ subscriber listening on /turtle_distance
[INFO] [1788764775.775080914] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764775.875033529] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764775.975128285] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764776.075297299] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764776.175136036] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764776.275093764] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764776.375237657] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764776.475285913] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764776.575335789] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764776.675050342] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764776.775099114] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764776.875158111] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764776.975270689] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764777.075208037] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764777.175298343] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764777.275307885] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764777.375201809] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764777.475037973] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764777.575348702] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764777.675187661] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764777.775144973] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764777.875087522] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764777.975234913] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764778.075358542] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764778.175213791] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764778.275124866] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764778.375132992] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764778.475240670] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764778.575147068] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764778.675199162] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764778.775247848] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764778.875165833] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764778.975208827] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764779.075127734] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764779.175144361] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764779.275317252] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764779.375151982] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764779.475129818] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764779.575185779] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764779.675188836] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764779.775120147] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764779.875118412] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764779.975317400] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764780.075407010] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764780.175325942] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764780.275209205] [cpp_distance_subscriber]: C++ received distance: 7.841 m
